ComputerID,CircuitWidth,CircuitDepth,CircuitNumU1Gates,CircuitNumU2Gates,CircuitNumU3Gates,CircuitNumCXGates,TotalUpDnErr25,TotalUpDnErr50,TotalUpDnErr75,StateHammingWeight,StateUpProb25,StateUpProb50,StateUpProb75,StateUpDnErr25,StateUpDnErr50,StateUpDnErr75,StateRealProb
2,3,6,2,2,0,3,2,2,2,0,94,94,95,-2,-2,-2,100
2,3,6,2,2,0,3,2,2,2,1,1,1,2,0,1,1,0
2,3,6,2,2,0,3,2,2,2,1,1,1,1,0,0,1,0
2,3,6,0,0,4,2,2,2,3,0,20,21,21,-3,-2,-2,12
2,3,6,0,0,4,2,2,2,3,1,75,75,77,0,1,1,87
2,3,6,0,0,4,2,2,2,3,1,0,0,0,1,1,1,0
2,3,6,0,0,4,2,2,2,3,2,0,0,1,0,0,0,0
2,5,10,6,0,2,4,3,4,4,0,59,60,61,-4,-4,-3,64
2,5,10,6,0,2,4,3,4,4,1,0,1,1,1,1,1,0
2,5,10,6,0,2,4,3,4,4,1,0,0,0,0,1,1,0
2,5,10,6,0,2,4,3,4,4,1,6,6,7,0,0,0,6
2,5,10,6,0,2,4,3,4,4,1,23,24,25,0,0,0,26
2,5,10,6,0,2,4,3,4,4,2,2,2,3,0,0,0,2
4,3,5,2,1,1,2,3,4,5,0,51,51,52,-5,-4,-3,48
4,3,5,2,1,1,2,3,4,5,1,0,0,1,1,1,1,0
4,3,5,2,1,1,2,3,4,5,1,1,1,1,0,0,1,1
4,3,5,2,1,1,2,3,4,5,1,41,42,42,1,1,1,48
4,3,5,2,1,1,2,3,4,5,2,1,1,2,0,0,0,1
0,1,3,0,0,1,0,0,0,0,0,4,4,4,0,0,0,1
0,1,3,0,0,1,0,0,0,0,1,95,95,95,0,0,0,98
3,2,4,1,2,1,1,5,6,18,0,5,6,7,-18,-6,-5,0
3,2,4,1,2,1,1,5,6,18,1,72,72,73,1,2,7,94
3,2,4,1,2,1,1,5,6,18,1,6,7,8,2,2,4,0
3,2,4,1,2,1,1,5,6,18,2,12,13,13,0,1,6,5
1,2,4,2,0,1,1,3,3,3,0,7,8,8,-3,-3,-3,11
1,2,4,2,0,1,1,3,3,3,1,3,3,3,1,1,1,0
1,2,4,2,0,1,1,3,3,3,1,2,2,2,1,2,2,0
1,2,4,2,0,1,1,3,3,3,2,85,86,86,0,0,0,88
1,1,2,1,0,0,0,1,1,1,0,98,99,99,-1,-1,-1,100
1,1,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0
3,4,4,1,2,1,1,9,10,19,0,4,4,5,-19,-10,-9,0
3,4,4,1,2,1,1,9,10,19,1,0,0,1,2,3,4,0
3,4,4,1,2,1,1,9,10,19,1,0,0,0,2,3,3,0
3,4,4,1,2,1,1,9,10,19,2,0,1,1,0,0,3,0
3,4,4,1,2,1,1,9,10,19,3,0,0,0,0,0,1,0
3,4,4,1,2,1,1,9,10,19,1,61,64,65,1,2,2,100
3,4,4,1,2,1,1,9,10,19,2,7,8,9,0,0,0,0
3,4,4,1,2,1,1,9,10,19,2,8,9,9,0,0,0,0
3,4,4,1,2,1,1,9,10,19,3,7,7,8,0,0,1,0
3,4,23,7,5,6,14,62,65,66,0,4,4,4,-66,-65,-62,0
3,4,23,7,5,6,14,62,65,66,1,3,3,3,6,7,7,0
3,4,23,7,5,6,14,62,65,66,1,5,5,6,10,11,11,0
3,4,23,7,5,6,14,62,65,66,2,4,5,6,2,3,3,0
3,4,23,7,5,6,14,62,65,66,1,27,27,28,4,5,5,49
3,4,23,7,5,6,14,62,65,66,2,20,23,26,2,2,3,50
3,4,23,7,5,6,14,62,65,66,2,5,5,6,4,4,5,0
3,4,23,7,5,6,14,62,65,66,3,4,5,5,2,2,3,0
3,4,23,7,5,6,14,62,65,66,1,1,1,1,6,7,8,0
3,4,23,7,5,6,14,62,65,66,2,1,1,1,3,4,4,0
